Active,Airline,AirlineID,Alias,Callsign,Country,IATA,ICAO
N,Antrak Air,48,\N,ANTRAK,Ghana,04,ABV
N,AOM French Airlines,343,\N,French Lines,France,IW,AOM
N,APA Internacional,399,\N,APA INTERNACIONAL,Dominican Republic,"",APY
N,Apatas Air,1053,\N,APATAS,Lithuania,"",LYT
N,Apex Air Cargo,398,\N,PARCEL EXPRESS,United States,"",APX
N,Apoyo Aereo,1153,\N,APOYO AEREO,Mexico,"",POY
N,Appalachian Flying Service,390,\N, Inc.,APPALACHIAN,"",APL
N,APSA Colombia,45,\N,AEROEXPRESO,Colombia,"",ABO
N,Aquila Air,774,\N,CHENANGO,United States,"",CNH
N,Aquila Air Ltd.,401,\N,AQUILA,Canada,"",AQL
N,Arab Agricultural Aviation Company,163,\N,AGRICO,Egypt,"",AGC
N,Arab Wings,561,\N,ARAB WINGS,Jordan,"",AWS
N,Araiavia,999,\N,ALEKS,Kazakhstan,"",KOY
N,Aram Airline,963,\N,ARAM,Iran,"",IRW
N,Aravco Ltd.,429,\N,ARAVCO,United Kingdom,"",ARV
N,Arca Aerovias Colombianas Ltda.,258,\N,ARCA,Colombia,"",AKC
N,Archer Aviation,802,\N,ARCHER,United Kingdom,"",DHM
N,Arctic Air,6182,"",Arctic Norway,Norway,"",AKR
N,Arctic Circle Air Service,767,\N,AIR ARCTIC,United States,5F,CIR
N,Arctic Wings And Rotors Ltd.,559,\N,ARCTIC WINGS,Canada,"",AWR
N,Arcus-Air Logistic,598,\N,ARCUS AIR,Germany,ZE,AZE
N,Argentine Air Force,865,\N,FUAER,Argentina,"",FAG
N,Argo,1195,\N,ARGOS,Dominican Republic,"",RGO
N,Argosy Airways,437,\N,GOSEY,United States,"",ARY
N,Arhabaev Tourism Airlines,1234,\N,ARTOAIR,Kazakhstan,"",RTO
N,Aria,430,\N,ARIABIRD,France,"",ARW
N,Aria Tour,964,\N,ARIA,Iran,"",IRX
N,Arik Air,407,\N,ARIK AIR,Nigeria,W3,ARA
N,Arizona Airways,614,\N, Inc.,ARIZAIR,"",AZY
N,Arizona Express Airlines,285,\N,TEMPE,United States,"",TMP
N,Arizona Pacific Airways,604,\N,ARIZONA PACIFIC,United States,"",AZP
N,Arkhabay,988,\N,ARKHABAY,Kazakhstan,"",KEK
N,Arkhangelsk 2 Aviation Division,1127,\N,DVINA,Russia,"",OAO
N,Arm-Aero,1211,\N,ARM-AERO,Armenia,"",RMO
N,Armenian Airlines,1209,\N,ARMENIAN,Armenia,"",RME
N,Armenian International Airways,1210,\N,"",Armenia,MV,RML
N,Armstrong Air,425,\N, Inc.,ARMSTRONG,"",ARQ
N,Army Air Corps,16,\N,ARMYAIR,United Kingdom,"",AAC
N,Aroostook Aviation,651,\N,PINE STATE,United States,"",PXX
N,ARP 410 Airlines,706,\N,AIR-ARP,Ukraine,"",URP
N,Arrendamiento de Aviones Jets,981,\N,AVIONESJETS,Mexico,"",JTS
N,Arrendoora y Transportadora Aerea,840,\N,ARRENDADORA,Mexico,"",END
N,Arrow Aviation Ltd.,422,\N,ARROW,Canada,"",ARO
N,Arrow Ecuador Arrowec,1243,\N,ARROWEC,Ecuador,"",RWC
N,Arrow Panama,460,\N,ARROW PANAMA,Panama,"",WAP
N,Arrowhead Airways,413,\N,ARROWHEAD,United States,"",ARH
N,Artem-Avia,37,\N,ARTEM-AVIA,Ukraine,"",ABA
N,Artis,1233,\N,ARTHELICO,France,"",RTH
N,Arubaexel,1175,\N,ARUBA,Aruba,"",RBX
N,Arvand Airlines,961,\N,ARVAND,Iran,"",IRD
N,As,362,\N, Opened Joint Stock Company,COMPANY AS,"",AOO
N,ASA Pesada,382,\N, Lda.,ASA PESADA,"",API
N,A-Safar Air Services,1258,\N,AIR SAFAR,Nigeria,"",SFM
N,ASECNA,728,\N,"",France,"",XKX
N,Asia Aero Survey and Consulting Engineers,984,\N,AASCO,Republic of Korea,"",KAA
N,Asia Avia Airlines,533,\N,ASIAVIA,Indonesia,"",AVT
N,Asia Continental Airlines,766,\N,ACID,Kazakhstan,"",CID
N,Asia Overnight Express,372,\N,ASIA OVERNIGHT,Philippines,OE,AOT
N,Asia Pacific Airlines,1070,\N,MAGELLAN,United States,"",MGE
N,Asian Aerospace Service,1273,\N,THAI SPACE,Thailand,"",SPY
N,Asian Express Airlines,571,\N,FREIGHTEXPRESS,Australia,HJ,AXF
N,ASL,538,\N,"",Belgium,"",XXX
N,Aspen Aviation,394,\N,ASPEN BASE,United States,"",APQ
N,Aspen Helicopters,188,\N,ASPEN,United States,"",AHF
N,Assistance Aeroportuaire de L'Aeroport de Paris,740,\N,"",France,"",XJA
N,Associated Aviation,1252,\N,ASSOCIATED,Nigeria,"",SCD
N,Association of Private Pilots of Kazakhstan,653,\N,BORIS,Kazakhstan,"",PVK
N,AST Pakistan Airways,1150,\N,PAKISTAN AIRWAY,Pakistan,"",PKA
N,Astar Air Cargo,801,\N,DAHL,United States,ER,DHL
N,Astoria,356,\N, Inc.,ASTORIA,"",AOI
N,ASTRAL Colombia - Aerotransportes Especiales Ltda.,479,\N,ASTRAL,Colombia,"",ATP
N,Astravia-Bissau Air Transports Ltd.,461,\N,ASTRAVIA,Guinea-Bissau,"",ASV
N,Astro Air International,31,\N,ASTRO-PHIL,United States,"",AAV
N,AT and T Aviation Division,729,\N,"",United States,"",XAT
N,ATA Brasil,51,\N,ATA-BRAZIL,Brazil,"",ABZ
N,Atair Pty Ltd.,352,\N,ATAIR,South Africa,"",AOF
N,ATESA Aerotaxis Ecuatorianos,498,\N,ATESA,Ecuador,"",TXU
N,Atlant Aerobatics Ltd.,488,\N,ATLANT HUNGARY,Hungary,"",ATU
N,Atlantair Ltd.,464,\N,STARLITE,Canada,"",ATB
N,Atlantic Aero and Mid-Atlantic Freight,1065,\N,NIGHT SHIP,United States,"",MDC
N,Atlantic Air Cargo,20963,"","",United States,K3,\N
N,Atlantic Air Lift,937,\N,HIGHER,France,"",HGH
N,Atlantic Air Services,20549,"","",United States,X7,\N
N,Atlantic Airfreight Aviation,528,\N,LANFREIGHT,Sao Tome and Principe,"",LFR
N,Atlantic Airlines,384,\N,BLACKJACK,United States,"",BJK
N,Atlantic Airlines,592,\N, S.A.,ATLANTIC NICARAGUA,"",AYN
N,Atlantic Airlines,900,\N,ATLANTIC GABON,Gabon,"",GBN
N,Atlantic Airlines,1118,\N,NEPTUNE,United Kingdom,"",NPT
N,Atlantic Airlines de Honduras,938,\N,ATLANTIC HONDURAS,Honduras,"",HHA
N,Atlantic Coast Airlines,177,\N,BLUE RIDGE,United States,"",BLR
N,Atlantic Coast Jet,1155,\N,PATRIOT,United States,"",PRT
N,Atlantic Gulf Airlines,164,\N,ATLANTIC GULF,United States,"",AGF
N,Atlantic Helicopters,864,\N,FAROECOPTER,Denmark,"",FAC
N,Atlantic Island Airways,228,\N,TARTAN,Canada,"",AIW
N,Atlantic Richfield Company,1119,\N,NORTH SLOPE,United States,"",NRS
N,Atlantic S.L.,1184,\N,AIR COURIER,Spain,"",RCU
N,Atlantic Southeast Airlines,275,\N,Chandler,United States,"",CAA
N,Atlantique Air Assistance,1301,\N,TRIPLE-A,France,"",TLB
N,Atlantis Airlines (USA),26,\N,ATLANTIS AIR,United States,"",AAO
N,Atlantis Transportation Services,467,\N, Ltd.,ATLANTIS CANADA,"",ATE
N,Atlas Airlines,485,\N,ATLAS-AIR,United States,"",ATR
N,Atlas Aviation Group,962,\N,ATLAS AVIA,Iran,"",IRH
N,Atlas Cargo Lines,64,\N,ATLAS CARGOLINES,Morocco,"",ACY
N,Atlas Helicopters,1296,\N,TRIDENT,United Kingdom,"",TDT
N,ATMA,296,\N,ADIK,Kazakhstan,"",AMA
N,ATS Private Company,777,\N,TECHSERVICE,Ukraine,"",CPF
N,ATTICO,858,\N,TRANATTICO,Sudan,"",ETC
N,Atuneros Unidos de California,1336,\N,ATUNEROS UNIDOS,Mexico,"",UND
N,Atyrau Air Ways,979,\N,EDIL,Kazakhstan,IP,JOL
N,Auckland Regional Rescue Helicopter Trust,707,\N,WESTPAC RESCUE,New Zealand,"",WPR
N,Audeli Air,74,\N,AUDELI,Spain,"",ADI
N,Audi Air,500,\N, Inc.,AUDI AIR,"",AUD
N,Augusta Air Luftfahrtunternehmen,501,\N,AUGUSTA,Germany,"",AUF
N,Auo Airclub AIST-M,560,\N,STORK,Russia,"",ISM
N,AUOS,16260,AUOS,AUOS,United Kingdom,"",AUK
N,Aur Rum Benin,1171,\N,RUM BENIN,Benin,"",RBE
N,Aurela,1043,\N,AURELA,Lithuania,"",LSK
N,Aurora Airlines,708,\N,AIR AURORA,Slovenia,"",URR
N,Aurora Aviation,511,\N, Inc.,AURORA AIR,"",AUU
N,Aus-Air,509,\N,"",Australia,NO,AUS
N,Austin Express,499,\N,COWBOY,United States,"",TXX
N,Australia Asia Airlines,30,\N,AUSTASIA,Australia,"",AAU
N,Australian air Express,743,\N,AUS-CARGO,Australia,"",XME
N,Australian Airlines,514,\N,AUSTRALIAN,Australia,AO,AUZ
N,Australian Customs Service,789,\N,COASTWATCH,Australia,"",CWP
N,Australian Maritime Safety Authority,1190,\N,RESCUE,Australia,"",RES
N,Australian Wetleasing,556,\N,AUSSIEWORLD,Australia,"",AWL
N,Austrian Airtransport,18011,"","",Austria,"",AAT
N,Austro Aereo,709,\N,AUSTRO AEREO,Ecuador,"",UST
N,Auvia Air,122,\N,AUVIA,Indonesia,"",UVT
N,Av Atlantic,1005,\N,DOLPHIN,United States,"",KYC
N,AV8 Helicopters,520,\N,KENT HELI,United Kingdom,"",AVH
N,AV8 Helicopters,522,\N,AVIATE-COPTER,South Africa,"",AVK
N,Avag Air,1058,\N,AVAG AIR,Austria,"",MBA
N,Avalair,730,\N,AIR AVALAIR,Serbia,"",VAI
N,Avanti Air,489,\N,AVANTI AIR,Germany,"",ATV
N,AVB-2004 Ltd,727,\N,AIR VICTOR,Bulgaria,"",VBC
N,AVC Airlines,1105,\N,"",Japan,"",MZK
N,Avcard Services,52,\N,"",United Kingdom,"",ACC
N,Avcenter,1320,\N,TETON,United States,"",TTE
N,AVCOM,349,\N,AERO AVCOM,Russia,J6,AOC
N,Avcorp Registrations,526,\N,AVCORP,United Kingdom,"",AVP
N,Ave.com,1147,\N,PHOENIX SHARJAH,United Arab Emirates,"",PHW
N,Avensa,732,\N,Avensa,Venezuela,VE,AVE
N,Averitt Air Charter,731,\N,AVERITT,United States,"",VRT
N,AVESCA,735,\N,AVESCA,Colombia,"",VSC
N,Avfinity,974,\N,"",United States,"",UTX
N,Avia Air N.V.,408,\N,AVIAIR,Aruba,"",ARB
N,Avia Business Group,506,\N,"",Russia,"",AUP
N,Avia Consult Flugbetriebs,235,\N,AVIACONSULT,Austria,"",AJF
N,Avia Jaynar,346,\N,TOBOL,Kazakhstan,"",SAP
N,Avia Sud A,534,\N,AVIASUD,France,"",AVU
N,Avia Traffic Company,521,\N,ATOMIC,Kyrgyzstan,"",AVJ
N,Avia Trans Air Transport,737,\N,VIATRANSPORT,Sudan,"",VTT
N,Aviacao Transportes Aereos e Cargas,739,\N,ATACARGO,Angola,"",VTG
N,Aviacion Comercial de America,712,\N,AVIAMERICA,Mexico,"",VME
N,Aviacion Del Noroeste,344,\N, S.A. de C.V.,AVINOR,"",ANW
N,Aviacion Ejecutiva De Hildago,939,\N,EJECUTIVA HIDALGO,Mexico,"",HID
N,Aviacion Ejecutiva Mexicana,523,\N, S.A.,AVEMEX,"",AVM
N,Aviacon Zitotrans Air Company,605,\N,ZITOTRANS,Russia,"",AZS
N,Aviaexpress,644,\N,Avex,Hungary,RX,AEH
N,Aviaexpress Aircompany,720,\N,EXPRESSAVIA,Ukraine,"",VXX
N,Aviaexpresscruise,18616,"","",Russia,E6,\N
N,Aviainvest,969,\N,"",Russia,"",IWS
N,Aviair Aviation Ltd.,518,\N,CARIBOO,Canada,"",AVF
N,Avial NV Aviation Company,1124,\N,NEW AVIAL,Russia,"",NVI
N,Avialesookhrana,483,\N,AVIALESOOKHRANA,Russia,"",FFA
N,Avialift Vladivostok,711,\N,VLADLIFT,Russia,"",VLV
N,Avialsa T-35,532,\N,AVIALSA,Spain,"",AVS
N,Aviance,906,\N,HANDLING,United Kingdom,"",GHL
N,Avianergo,850,\N,AVIANERGO,Russia,"",ERG
N,Aviapartner Limited Company,1136,\N,"",Russia,"",OSO
N,Aviapaslauga,537,\N,PASLAUGA,Lithuania,"",AVX
N,Aviaprad,718,\N,AVIAPRAD,Russia,"",VID
N,Aviaprom Enterprises,736,\N,AVIAPROM,Russia,"",XAV
N,Aviaservice,548,\N,AVIASERVICE,Georgia,"",BIV
N,Aviast Air,713,\N,IALSI,Russia,"",VVA
N,Aviastar-Tu,495,\N,TUPOLEVAIR,Russia,"",TUP
N,Aviateca,650,\N,AVIATECA,Guatemala,"",GUG
N,Aviation Amos,304,\N,AVIATION AMOS,Canada,"",AMJ
N,Aviation at Work,525,\N,AVIATION WORK,South Africa,"",AVO
N,Aviation Beaufort,516,\N,BEAUPAIR,United Kingdom,"",AVB
N,Aviation Charter Services,768,\N,CIRCLE CITY,United States,"",CKL
N,Aviation Company Meridian,1079,\N,AVIAMERIDIAN,Russia,"",MMM
N,Aviation Consultancy Office,1162,\N,"",Australia,"",QEA
N,Aviation Data Systems,868,\N,"",United States,"",FBW
N,Aviation Defense Service,798,\N,TIRPA,France,"",DEF
N,Aviation Legere De L'Armee De Terre,2461,\N,FRENCH ARMY,France,"",FMY
N,Aviation Management Corporation,25,\N,AM CORP,United States,"",AAM
N,Aviation Ministry of the Interior of the Russian Federation,1198,\N,INTERMIN AVIA,Russian Federation,"",RIF
N,Aviation North,714,\N,WOLVERINE,United States,"",WLV
N,Aviation Partners,710,\N,WINGLET,United States,"",WLT
N,Aviation Quebec Labrador,1165,\N,QUEBEC LABRADOR,Canada,"",QLA
N,Aviation Services,530,\N, Inc.,AQUILINE,"",AVQ
N,Aviator Airways,536,\N,AVIATOR,Greece,"",AVW
N,Aviavilsa,1050,\N,AVIAVILSA,Lithuania,"",LVR
N,Aviaxess,586,\N,AXAVIA,France,"",AXV
N,Aviazur,717,\N,IAZUR,France,"",VZR
N,Avient Air Zambia,716,\N,AVIENT,Zambia,"",VNT
N,Avinor,947,\N,"",Norway,"",HQO
N,Avio Nord,884,\N,"",Italy,"",FNM
N,Avio Sluzba,646,\N,AVIO SLUZBA,Serbia,"",SLU
N,Aviodetachment-28,544,\N,BULGARIAN,Bulgaria,"",BGF
N,Avioimpex A.D.p.o.,587,\N,IMPEX,Macedonia,"",AXX
N,Avion Taxi,82,\N,AIR DATA,Canada,"",ADQ
N,Aviones Are,456,\N,AVIONES ARE,Mexico,"",NRE
N,Aviones de Renta de Quintana Roo,404,\N, S.A. de C.V.,AVIOQUINTANA,"",AQT
N,Aviones de Sonora,84,\N,SONORAV,Mexico,"",ADS
N,Aviones Para Servirle,645,\N,SERVIAVIONES,Mexico,"",PSG
N,Aviones Unidos,505,\N,AVIONES UNIDOS,Mexico,"",AUN
N,Avior Airlines,1219,\N,AVIOR,Venezuela,"",ROI
N,Aviostart AS,738,\N,AVIOSTART,Bulgaria,"",VSR
N,Avirex,719,\N,AVIREX-GABON,Gabon,G2,VXG
N,Avita-Servicos Aereos,966,\N,AIR AVITA,Angola,"",ITF
N,Avitat,855,\N,"",United Kingdom,"",ESO
N,Avjet International (FZE),366,\N,"",United Arab Emirates,"",VJE
N,Avolar Aerolineas,733,\N,AEROVOLAR,Mexico,V5,VLI
N,Avstar Aviation,734,\N,STARBIRD,South Africa,"",VSA
N,Awesome Flight Services (PTY) Ltd.,448,\N,AWESOME,South Africa,"",ASM
N,Awood Air Ltd.,558,\N,AWOOD AIR,Canada,"",AWO
N,Awsaj Aviation Services,593,\N,"",Libya,"",AYS
N,Axel Rent,584,\N, S.A.,RENTAXEL,"",AXR
N,Axis Airways,588,\N,AXIS,France,6V,AXY
N,Ayeet Aviation & Tourism,594,\N,AYEET,Israel,"",AYT
N,Aykavia Aircompany,590,\N,"",Armenia,"",AYK
N,Azal Avia Cargo,185,\N,AZALAVIACARGO,Azerbaijan,"",AHC
N,Azalhelikopter,600,\N,AZALHELICOPTER,Azerbaijan,"",AZK
N,Azamat,597,\N,TUMARA,Kazakhstan,"",AZB
N,Azimut,606,\N, S.A.,AZIMUT,"",AZT
N,Azov Avia Airlines,607,\N,AZOV AVIA,Ukraine,"",AZV
N,Aztec Worldwide Airlines,67,\N,"",United States,7A,""
N,Azza Transport,615,\N,AZZA TRANSPORT,Sudan,"",AZZ
N,Azzurra Air,662,\N,AZZURRA,Italy,"",AZI
N,B&H Airlines,1371,\N,AIR BOSNA,Bosnia and Herzegovina,JA,BON
N,BA Connect,1407,\N,"",United Kingdom,TH,""
N,BAC Express Airlines,1559,\N,RAPEX,United Kingdom,"",RPX
N,BAC Leasing Limited,1344,\N,"",United Kingdom,"",BAC
N,BACH Flugbetriebsges,1364,\N,BACH,Austria,B4,BCF
N,Badr Airlines,1374,\N,BADR AIR,Sudan,"",BDR
N,BAE Systems,1345,\N,FELIX,United Kingdom,"",BAE
N,BAE Systems,1568,\N,AVRO,United Kingdom,"",WFD
N,BAE Systems,1569,\N,TARNISH,United Kingdom,"",WTN
N,BAE Systems Flight Training,9287,"","",Australia,"",BAZ
N,Bahrain Air BSC (Closed),1343,\N,AWAL,Bahrain,"",BAB
N,Bahrain Defence Force,1388,\N,SUMMAN,Bahrain,"",BFW
N,Bahrain Executive Air Services,1513,\N,BEXAIR,Bahrain,"",BXA
N,Baja Air,1416,\N,BAJA AIR,Mexico,"",BJA
N,Baker Aviation,1347,\N,BAKER AVIATION,United States,8Q,BAJ
N,Bakoji Airlines Services,1552,\N,BAKO AIR,Nigeria,"",OGJ
N,BAL Bashkirian Airlines,1493,\N,BASHKIRIAN,Russia,V9,BTC
N,Balear Express,1378,\N,BALEAR EXPRESS,Spain,"",BEF
N,Bali International Air Service,1433,\N,BIAR,Indonesia,"",BLN
N,Balkan Agro Aviation,1342,\N,BALKAN AGRO,Bulgaria,"",BAA
N,Balkh Airlines,1397,\N,SHARIF,Afghanistan,"",BHI
N,Balmoral Central Contracts,1554,\N,PORTNET,South Africa,"",PNT
N,Baltia Air Lines,1496,\N,BALTIA FLIGHT,United States,"",BTL
N,Baltic Aviation,1435,\N,BALTAIR,United States,"",BLT
N,Baltic Jet Aircompany,1417,\N,BALTIC JET,Latvia,"",BJC
N,Baltijas Helicopters,1494,\N,BALTIJAS HELICOPTERS,Latvia,"",BTH
N,Baltimore Air Transport,1529,\N,CORPJET,United States,"",CPJ
N,Baltimore Airways,1532,\N,EASTERN,United States,"",EAH
N,Baltyka,1495,\N,BALTYKA,Ukraine,"",BTK
N,Banco de Mexico,1447,\N,BANXICO,Mexico,"",BMX
N,Bancstar - Valley National Corporation,1453,\N,BANCSTAR,United States,"",BNS
N,Bangkok Aviation Center,1537,\N,THAI HAWK,Thailand,"",HAW
N,Bankair,1419,\N,BANKAIR,United States,B4,BKA
N,Bannert Air,1358,\N,BANAIR,Austria,"",BBA
N,Bar Harbor Airlines,1377,\N,BAR HARBOR,United States,"",AJC
N,Bar XH Air,1514,\N,PALLISER,Canada,"",BXH
N,Barken International,1421,\N,BARKEN JET,United States,"",BKJ
N,Barnes Olsen Aeroleasing,1528,\N,SEELINE,United Kingdom,"",CLN
N,Baron Aviation Services,1507,\N,SHOW-ME,United States,"",BVN
N,BASE Regional Airlines,1475,\N,COASTRIDER,Netherlands,"",BRO
N,Baseops International,1570,\N,"",United States,"",XBO
N,Basler Flight Service,1382,\N,BASLER,United States,"",BFC
N,BAX Global,1516,\N,"","",8W,""
N,Bay Aviation Ltd,1354,\N,BAY AIR,Bangladesh,"",BAV
N,Bayon Airlines,1357,\N,BAYON,Cambodia,"",BAY
N,Bayu Indonesia Air,1521,\N,BAYU,Indonesia,BM,BYE
N,BCT Aviation,1368,\N,BOBCAT,United Kingdom,"",BCT
N,Bear Flight,1383,\N,BEARFLIGHT,Sweden,"",BFG
N,Bearing Supplies Limited,1341,\N,PROVOST,United Kingdom,"",PVO
N,Beibars CJSC,1361,\N,BEIBARS,Kazakhstan,"",BBS
N,Bel Air Helicopters,1379,\N,BLUECOPTER,Denmark,"",BEH
N,Bel Limited,1536,\N,"",Russia,"",FOS
N,Belgavia,1428,\N,BELGAVIA,Belgium,"",BLG
N,Belgian Air Force,1346,\N,BELGIAN AIRFORCE,Belgium,"",BAF
N,Belgian Army,1373,\N,BELGIAN ARMY,Belgium,"",AYB
N,Belgian Navy,1551,\N,BELGIAN NAVY,Belgium,"",NYB
N,Belgorod Aviation Enterprise,1376,\N,BELOGORYE,Russia,"",BED
N,Bell Helicopter Textron,1564,\N,TEXTRON,Canada,"",TXB
N,Belle Air,1544,\N,ALBAN-BELLE,Albania,"",LBY
N,Bellesavia,1425,\N,BELLESAVIA,Belarus,"",BLC
N,Bellview Airlines,1509,\N, Sierra Leone,"","",BVU
N,Benair,1538,\N,SCOOP,Norway,"",HAX
N,Benane Aviation Corporation,1455,\N,BENANE,Mauritania,"",BNV
N,Benders Air,1553,\N,PALEMA,Sweden,"",PEB
N,Benin Golf Air,1392,\N,BENIN GOLF,Benin,A8,BGL
N,Benin Littoral Airways,1546,\N,LITTORAL,Benin,"",LTL
N,Benina Air,1449,\N,BENINA AIR,Libya,"",BNE
N,Bentiu Air Transport,1454,\N,BENTIU AIR,Sudan,"",BNT
N,Bergen Air Transport,1395,\N,BERGEN AIR,Norway,"",BGT
N,Berkhut ZK,1464,\N,VENERA,Kazakhstan,"",BPK
N,Berkut Air,1380,\N,BERKUT,Kazakhstan,"",BEK
N,Berry Aviation,1518,\N,BERRY,United States,"",BYA
N,Berytos Airlines,1520,\N,"",Lebanon,"",BYR
N,Best Aero Handling Ltd,1356,\N,"",Russia,"",BAX
N,Best Air,1490,\N,TUNCA,Turkey,"",BST
N,Best Aviation Ltd,1375,\N,BEST AIR,Bangladesh,"",BEA
N,BETA - Brazilian Express Transportes Aereos,1381,\N,BETA CARGO,Brazil,"",BET
N,BGB Air,1555,\N,BOJBAN,Kazakhstan,"",POI
N,BH Air,1389,\N,BALKAN HOLIDAYS,Bulgaria,"",BGH
N,Bhoja Airlines,1400,\N,BHOJA,Pakistan,"",BHO
N,Big Island Air,1410,\N,BIG ISLE,United States,"",BIG
N,Big Sky Airlines,1492,\N,BIG SKY,United States,GQ,BSY
N,Bighorn Airways,1402,\N,BIGHORN AIR,United States,"",BHR
N,Billund Air Center,1412,\N,BILAIR,Denmark,"",BIL
N,Binair,1409,\N,BINAIR,Germany,"",BID
N,Bird Leasing,1414,\N,BIRD AIR,United States,"",BIR
N,Birmingham European,10646,"","",United Kingdom,VB,\N
N,Bismillah Airlines,1443,\N,BISMILLAH,Bangladesh,5Z,BML
N,Bissau Aero Transporte,1489,\N,BISSAU AIRSYSTEM,Guinea-Bissau,"",BSS
N,Bissau Airlines,1353,\N,AIR BISSAU,Guinea-Bissau,"",BAU
N,Bissau Discovery Flying Club,1372,\N,BISSAU DISCOVERY,Guinea-Bissau,"",BDF
N,Bistair - Fez,1484,\N,BIG SHOT,Kyrgyzstan,"",BSC
N,Biz Jet Charter,1566,\N,AVOLAR,United States,"",VLX
N,Bizair Fluggesellschaft,1522,\N,BERLIN BEAR,Germany,"",BZA
N,Bizjet Ltd,1415,\N,BIZZ,United Kingdom,"",BIZ
N,BKS Air (Rivaflecha),1526,\N,COSMOS,Spain,"",CKM
N,Blackhawk Airways,1348,\N,BLACKHAWK,United States,"",BAK
N,Blom Geomatics,1545,\N,SWEEPER,Norway,"",LED
N,Blue Airlines,1502,\N,BLUE AIRLINES,Democratic Republic of the Congo,"",BUL
N,Blue Airways,1432,\N,BLUE ARMENIA,Armenia,"",BLM
N,Blue Bird Aviation,1363,\N,COBRA,Kenya,"",BBZ
N,Blue Bird Aviation,1424,\N,BLUEBIRD SUDAN,Sudan,"",BLB
N,Blue Chip Jet,1567,\N,BLUE SPEED,Sweden,"",VOL
N,Blue Dart Aviation,1370,\N,BLUE DART,India,BZ,BDA
N,Blue Horizon Travel Club,1429,\N,BLUE HORIZON,United States,"",BLH
N,Blue Islands,1365,\N,BLUE ISLAND,United Kingdom,"",BCI
N,Blue Jet,1430,\N,BLUEWAY,Spain,"",BLJ
N,Blue Line,1426,\N,BLUE BERRY,France,"",BLE
N,Blue Nile Ethiopia Trading,1451,\N,NILE TRADING,Ethiopia,"",BNL
N,Blue Sky Airways,1491,\N,SKY BLUE,Czech Republic,"",BSW
N,Blue Sky America,10118,"","",United States,BU,BKY
N,Blue Sky Aviation,1488,\N,"",Lebanon,"",BSM
N,Blue Star Airlines,1485,\N,AIRLINES STAR,Mexico,"",BSD
N,Blue Swann Aviation,1487,\N,BLUE SWANN,United Kingdom,"",BSJ
N,Blue Wing Airlines,1511,\N,BLUE TAIL,Suriname,"",BWI
N,Bluebird Cargo,1360,\N,BLUE CARGO,Iceland,BF,BBD
N,BMW,1446,\N,BMW-FLIGHT,Germany,"",BMW
N,BN Group Limited,1450,\N,VECTIS,United Kingdom,"",BNG
N,Boeing,1459,\N,BOEING,United States,"",BOE
N,Boise Interagency Fire Center,1413,\N,BISON-AIR,United States,"",BIN
N,Bombardier,1385,\N,BOMBARDIER,Canada,"",BFO
N,Bombardier Business Jet Solutions,1547,\N,FLEXJET,United States,"",LXJ
N,Bonair Aviation,1452,\N,BONAIR,Canada,"",BNR
N,Bond Air Services,1458,\N,UGABOND,Uganda,"",BOD
N,Bond Air Services,1557,\N,RED HEAD,United Kingdom,"",RHD
N,Bond Aviation,1533,\N,BOND AVIATION,Italy,"",EBA
N,Bond Offshore Helicopters,1448,\N,BOND,United Kingdom,"",BND
N,Boniair,1457,\N,KUMANOVO,Macedonia,"",BOA
N,Bonus Aviation,1467,\N,BONUS,United Kingdom,"",BPT
N,Bonyad Airlines,1540,\N,BONYAD AIR,Iran,"",IRJ
N,Bookajet Limited,1461,\N,BOOKAJET,United Kingdom,"",BOO
N,Bordaire,1460,\N,BORDAIR,Canada,"",BOF
N,Boscombe Down DERA (Formation),1560,\N,BLACKBOX,United Kingdom,"",RRS
N,Boskovic Air Charters Limited,1573,\N,BOSKY,Kenya,"",ZBA
N,Bosphorus European Airways,1408,\N,BOSPHORUS,Turkey,"",BHY
N,Boston-Maine Airways,1530,\N,CLIPPER CONNECTION,United States,E9,CXS
N,Botir-Avia,1497,\N,BOTIR-AVIA,Kyrgyzstan,"",BTR
N,Bouraq Indonesia Airlines,1462,\N,BOURAQ,Indonesia,BO,BOU
N,Bowman Aviation,1444,\N,BOWMAN,United States,"",BMN
N,Braathens,6183,Braathens SAFE,Braathens,Norway,BU,BRA
N,Bradly Air (Charter) Services,1352,\N,BRADLEY,Canada,"",BAR
N,Braniff International Airways,1481,\N,Braniff,United States,BN,BNF
N,Branson Airlines,1474,\N,BRANSON,United States,"",BRN
N,Brasair Transportes Aereos,1486,\N,BRASAIR,Brazil,"",BSI
N,BRA-Transportes Aereos,1469,\N,BRA-TRANSPAEREOS,Brazil,7R,BRB
N,Bravo Air Congo,1479,\N,BRAVO,Democratic Republic of the Congo,K6,BRV
N,Bravo Airlines,1362,\N,BRAVO EUROPE,Spain,"",BBV
N,Brazilian Army Aviation,1534,\N,BRAZILIAN ARMY,Brazil,"",EXB
N,Brazilian Navy Aviation,1549,\N,BRAZILIAN NAVY,Brazil,"",MBR
N,Breeze Ltd,1471,\N,AVIABREEZE,Ukraine,"",BRE
N,Briansk State Air Enterprise,1473,\N,BRIANSK-AVIA,Russia,"",BRK
N,Briggs Marine Environmental Services,1439,\N,BRIGGS,United Kingdom,"",BME
N,Bright Air,1404,\N,BRIGHTAIR,Netherlands,"",BHT
